start	end	text
0	1400	放在咱们家食材上面
1400	3080	就算大家觉得我觉得好吃
3080	4480	我会推荐家里人来吃
4480	5920	我推荐我的朋友来吃
5920	7720	像我个人主播本人
7720	9120	就是真实的故事
9120	10720	咱们家本人就是
10720	13320	我主播本人就是被朋友去圈本的
13320	13720	然后呢
13720	14880	所以说这个口口香香
14880	15440	觉得好吃
15440	16960	自然会来家里的朋友吃
16960	18400	所以说咱们这个食材
18400	21640	就是舍得下这个本钱
21640	23920	还有咱们家20多年来坚持一件事情
23920	24840	就是这个披萨
24840	27080	坚决不用代工制作
27080	28400	坚决不用代工制作
28480	30200	都是咱们家自己家碰上去制作
30200	33240	而且使用的都是这个人工手拍
34360	36360	使用的都是人工手拍的平底
36360	37400	所以说人工手拍
37400	38000	大家都知道
38000	39400	就咱们自己家就是
39400	40400	包括饺子呀
40400	41400	这些什么面食啊
41400	42400	这个大家都知道
42400	43640	就是要手工制作
43640	46040	它就是比这个机器制作的香
46040	46360	对不对
46360	48240	就是也其实我不是厨师
48240	49600	但是我也不知道为什么
49600	51080	就大家就是一般都是
51080	52320	尤其是过年的时候
52320	53040	大家吃饺子
53040	54960	都是喜欢吃手工制作的饺子
54960	55520	是不是
55520	57080	尤其现在手工制作的东西
57080	57800	特别特别贵
57800	59000	因为没有什么
59000	61280	就是人工费现在特别贵
61280	62200	人工费特别贵
62200	64240	但是咱们还是坚持用这个
64240	65440	人工手拍融制
65440	67640	为了就是把这个面粉的灵魂融出来
67640	70240	它整体的味道还是完全不一样的
70240	72240	尤其是像之前我们家那个展会上
72240	73480	有个宝宝他就说
73480	76040	我披萨永远不吃外面那个圈的那个
76040	78520	就是外面那个披萨的饼边的部分
78520	79560	因为觉得那个太硬了
79560	80320	他咬不动
80320	81600	他觉得也不香
81600	83040	但是在吃完我们家现烤
83040	83800	这个冷冻披萨之后
83800	85840	他说我爱吃你们家这个饼边
85880	86800	因为这个饼边
86800	89800	它这个优质硬小麦新粉均手工融制之后
89800	91400	它不是那种硬硬的感觉
