start	end	text
0	3920	橙汁上一下吧 橙汁的話等我的話再給他上也可以在我們這邊停留一下
5920	7400	28分吧 我把兩分鐘給你上吧
7840	12480	有那個單獨的頁面鏈接嗎 不會有的 我給你看一下這幾號鏈接哦 在我們的一個
14800	17200	有啊 19號鏈接 19號鏈接不是有嗎
18200	25320	19號鏈接你可以選擇單獨的也可以啊 19號鏈接你也可以選擇單獨的 19號鏈接他有一個頁面你就等於單單獨用也可以好不好
25320	27000	單單獨用也可以你就選擇頁面就好了
27560	33040	對的 然後我們今天這個價格換兩個黑黑膠的行不行雙人三寶貝
33600	37400	不行牛排不能換 口味可以換好不好 口味可以換
37800	43080	然後19號鏈接哪裡點寶貝 你直接點進去就可以了 點進去直接購買就可以了 特惠的一個價格
43520	46800	4月15號到我們的一個5月的一個15號都可以用的
47160	53840	沒有用沒有關係 我等一下給你發在群裡面 我跟你講 所以說趁今天這個價格 趁今天這個非常的一個給力的一個價格
54360	56560	三個人的話 吃的套餐的話 裡面沒有
57440	58640	牛排裡面沒有筋吧
59920	63760	寶貝你都說你不想吃有筋的 就直接買我們家的那個
64760	73000	黑胡椒傳奇牛排 買三份就可以了 買三份就可以了 你都不想吃有筋的不要買帶骨的 好不好 不要買帶骨的就沒有筋 好吧 基本都沒有筋的
74360	77600	然後趁今天這個價格 趁今天這個給力 我建議大家可以多拍一號鏈接
77920	85120	特價的一個福利 限時房產的一個活動 而且一號鏈接這個大家可以自己先簡單看一下那個已售930,000份
85520	91560	足以證明好吃 足以證明經典 4月的一個15號到我們的一個5月的一個15號都可以用 什麼早上中午晚膳
91880	97320	他都可以去用的都是一個特價的一個福利 非常優惠的一個價格 這個價格寶貝也不是每天給他上的
97640	103040	都是一個非常給力的一個價格 感覺好像這個這個就是我們30之前最早的一條那一條 對吧
103480	109720	你們上次講他可以給的就等a還是他那個s 他那個是加一個符號的s 對吧
110240	112280	可能得調那個加一個符號的s更清晰
112680	117400	然後我們家趁今天這個價格要這個價格搭配我們家678鏈接可以去用嗎 可以的
117760	121680	所有的一個鏈接寶貝他都可以去用的 沒有用寶貝沒關係 都可以退
122080	128840	過期寶貝沒關係 都可以退 萬季寶貝沒關係 都可以退的 那我們一會我們6號和8號鏈接再各給大家補一個
129800	135160	那個時單嘛 來倒計3秒鐘 321上鏈接
135720	146800	好 我們6號鏈接陽光100吋 城之方寶如下 雙方都可以給誰買直接就行了 沒錯 價值我們的一個16米 今天直接到的價格只要一塊錢的一個價格就可以帶回家
146800	160680	對的 8號鏈接今天到的價格才39米 只要19塊5的一個價格就可以帶回去 裡面有薯條烤汁 蝴蝶蝦 小豬肉
161120	165440	環款都是經典所有的一個鏈接寶貝他都可以用
166080	175600	沒有用沒關係可以退過期沒關係可以退萬季寶貝也沒關係 都可以退的 不會再多收你任何手續費的
175960	179480	錯過今天這個價格錯過今天這個福利再來拍再來買就沒有這個價格了
179880	187840	那我們家要請客要約會要團結不知道我們選牛排來選擇一號鏈接了 大家可以看一號鏈接的以後930,000份足以證明他好吃930,000份足以證明他經典
188440	195080	然後這一款如果是不好吃不優惠大家不會願意為他買單的 肯定是一款好吃優惠大家才會願意為他買單我們家的一號鏈接
195440	202000	到手價格才110米的一個價格今天就可以帶走我們家特價110米的價格 今天就可以帶走他福利
202360	206600	都是一個非常優惠的一個價格這個價格寶貝也不是每天都有的
206920	212520	到手價格才110米的一個特價都是一個非常給力的一個價格能拍三單
213760	221760	寶子不要拍兩單能拍兩單的寶子不要拍一單錯過今天這個價格錯過今天這個福利再來拍
222160	230080	再來買寶貝就沒有這個價格囉這個價格這個福利寶貝也只有今天抖爸爸今天他才能辦到位的
230400	233960	都是一個非常給力的一個價格我們家的一個一號鏈接
234640	241040	地址在那個在哪裡呢寶貝我教你咱們查核門店因為全國太多門店主播一個個也沒辦法記下來啊我教你怎麼查核門店
241440	249040	點擊下方的一個小房房子點擊那個鏈接點擊一個全部門店然後跳出來離你最近的門店你導航過去就可以囉
249720	256200	為兩個大人一個小來拍哪一個合適寶貝一號鏈接拍一單我們家的那個13號鏈接拍一單是最便宜最優惠最給力的
256720	264680	趁今天剛好有這個價格一號鏈接我建議大家直接去拍了直接去沖就可以了這個價格也不多說運營花一分鐘後直接給大家下架下鏈接好的
265760	270760	然後我跟大家說今天那個五號鏈接如果說五號鏈接
271600	276040	是福建的寶貝們比如說全州三州啊或者大家如果做
276680	285080	我們好客來門店的齁直接五號鏈接直接去拍就可以囉五號鏈接今天限定的一個福地喔寶貝五號鏈接今天
285320	292400	限定的一個福利五號鏈接這一款今天福建專產限定的只有這個鏈接而且只有今天才用
292800	298840	五號鏈接運營花給他訂單置頂一下好的五號鏈接今天限定的如果說你們剛好要準備就要去玩了這個
299480	306360	這個價格幾折寶貝只有我們的一個6.9折沒有地方找三州都可以用嘛對了五號鏈接找福建都可以用
306800	313400	福建的這個地區都可以用的福建只有福建地區才可以用那如果說你是浙江湖北啊四川啊寶貝們那得
313960	318440	等他這個每天會變好吧每天一遍但是只有五號鏈就會變那其他鏈接都可以用的
318880	324360	其他鏈接是全國通用只有五號鏈接只有福建才可以用的五號鏈接如果說
325200	331320	剛好說明天才會去玩的五號鏈接去拍能多拍多拍只有今天一天喔明天可能就是說什麼
331760	336240	浙江啊廣東啊湖北啊可能就沒有這個專長今天今天限定的一個五號鏈接
336680	340840	沒有拍沒買只要去買這個價格只有今天才有好吧那這個價格不是說喜歡賺去拍
341520	347560	對的那接下來我給他介紹一下我們家今天的一個一號鏈接我們家一號鏈接這一款的話寶貝
347920	354680	他是我們家的一個網炸款我為什麼一直在推薦一號鏈接呢因為一號鏈接說句實話這個價格他太優惠了寶貝
