start	end	text
0	2560	它的重度发酵
2560	4720	它这个发酵的程度感觉不是特别重
4720	8960	但是这样它的味道更加的清新
8960	10720	更加的淡雅一些
10720	12480	对 吃到是清新的酱香
12480	14800	和这种食材比较扎实的口感
14800	16680	但也很香
16680	19360	咱们这个酱是用
20000	22200	这能说吧 农夫山泉的源头水
22200	23520	然后去和面
23520	25400	然后去做整个一个
25400	26600	不能说 不能说 不说了
26600	27280	不提了
27280	28160	Too late
30720	32160	给大家看一下我们这个面
32160	32760	面条
32760	33280	对
33960	35560	面条小麦粉纯净水
35560	36800	然后用了一点碱
36800	38240	我刚才放了一勺
38240	39520	但是觉得不够
39520	40280	那我也再来点
40280	41680	不够香 再来一个
41680	43120	因为它不咸
43120	44560	要不然你来点这个油的
44560	46240	带点原味的再来点
46240	48440	这个是我们面它原来的样子
48440	49520	然后我们做了两种
49520	51440	一个是汤面一个是拌面
51440	52560	哦 这个
52560	54560	大家现在看到我们吃的这个面叫日晒面
54560	55680	29块9
55680	58560	到手是有细面和刀剑面一个组合装
58840	61680	有730克的细面
61680	63040	这个是细面
63040	63760	千岛湖的
63760	64520	这个是刀剑面
64520	65560	千岛湖的
65560	66000	这样的一个组合
66000	67080	千岛湖是
67080	68800	我说的不是这个产品
68800	69840	我说的是千岛湖
69840	71960	千岛湖是天下第一秀水
71960	72840	千岛湖
72840	73320	这可以说
73320	75400	浙江是岛屿众多的省份
75400	75680	对
75680	77680	像浙江的北面的湖州
77680	79440	都称为水晶宫
79440	80200	河流众多
80200	81920	然后交错在那兴成那么多的湖泊
81920	82800	对
82800	85960	千岛湖有接近2000座岛屿
85960	87640	就是来自于这个美丽的地方
87640	89480	做的这个手工日晒面
89480	90160	日晒面
90160	91200	非常非常的
91200	91840	我还没吃它
91840	94040	但是已经觉得非常香了
94040	95440	日晒面
95440	97080	日晒是它的灵魂
97080	99440	比如说其实它不用防腐剂
99440	101680	阳光就是它的防腐剂
101680	103480	这个一斤粉的话
103480	105760	只能出大概是九两面
105760	107480	那你经过这种日晒的面条
107480	108360	它的感觉怎么样
108360	109440	鲜
109440	110000	鲜
110000	111160	就只能用一个字形
111160	112840	就是很鲜
112840	115080	麦香浓不浓郁
115080	115720	浓郁
115720	116920	可以
116920	118760	晒的时间是八个小时
118760	120480	日晒八个小时的时间
120480	122120	而且就在那种阳光比较好
122120	123720	温度比较好的时候去制作
123720	125160	所以在成型之后
125160	126440	几秒之后
126440	126920	怎么样
126920	128760	就把它要去定型
128760	130080	直到比如说最后
130080	132960	一步一步通过工序收尾去虎烘
132960	135320	然后给您去做这种
135320	136600	单独小包装的保鲜
136600	138640	所以它不仅是一款
138640	139760	那给一下
139760	141440	我终于理解这个南方的朋友
141440	143200	为什么把吃面条叫喝面条
143200	144600	怎么讲
144600	146160	它就是软弹丝滑
146200	147600	不用嚼
147600	147960	是吗
147960	148760	那我也喝一个
148760	150560	还是因为你的有汤我就没有
150560	151640	我汤都给你了
151640	152160	面汤
152160	153280	抱歉
153280	153960	尝尝
153960	157440	刚才我看你们平时不爱喝面汤
157440	158600	哎呦
158600	159560	在这没有三号机会
159560	161200	不能给大家全面的一个展示
161200	162320	来镜头看一下
164640	165240	这看不见
165240	165760	急人
165760	166720	这个汤真的
166720	168320	这嫩面汤就老想
168320	169720	太想来做味口了
170720	173160	刚才吃的这个日晒面是一个
173160	173800	日晒面
173800	174600	细面啊 朋友们
174600	175600	然后咱们看到这边
175600	178160	这是这个组合装装中的刀削面
179440	180280	这个尝一尝
182760	184000	北方的朋友
184000	186280	把这个面条跟这个酱
186280	187680	组合一下派回去
187680	189400	这个非常方便操作
190560	191720	弄点葱花
191720	192840	稍微的呛一下
192840	194320	咱们面已经一切无外乱了
194320	194920	已经一切无外乱了
194920	196480	把这个面条放到锅里一煮
196480	197880	煮的时候放两片香菜
197880	198520	对
198520	199160	不是香菜
199160	200360	放两片青菜
200360	200840	青菜叶
200840	202000	然后煮出来放在一起
202000	203520	把这个香菇酱来两勺
204480	206520	然后你要是家里食材丰富
206520	208120	再来点咱们的虾黄
208120	209520	来点午餐肉
209520	210480	是不是都行
210480	211480	还是不需要
211480	212640	我觉得不需要
212640	213400	我觉得这个不需要
213400	215400	真的已经够了
215400	216200	然后
217360	218560	北方的朋友
218560	220240	即使你没拍这个面
220240	222480	你很喜欢吃饼吃馒头的
222480	224880	大家都可以拍这个香菇酱
226080	226920	跟馒头怎么吃
226920	229040	把馒头拍就往里边加
229040	229920	当一个
229920	230360	特别好
230360	231520	因为我们通常有一种吃法
231520	233160	就是往里边加老干妈之类的
233160	233680	有
233680	234200	对
234200	234880	我觉得这
234880	236520	刷那个辣酱已经可不容易变了
236520	237960	也非常好吃
237960	240120	可惜的就是这个量有点小了
240120	240600	这一罐
240600	242960	所以这买一份可能不够
242960	243640	真的不够
243640	245800	我觉得两份三份的去拍
245800	246400	特别特别香
246400	248400	而且它那个微辣的话是比较
248400	249360	其实没有那么的辣
249360	251600	比较轻轻微微带一点点的辣香
253480	255480	你刚才吸得了吗
255480	256840	大家说你吸得了很香
256840	257560	这么大声音
262040	262640	真香
262680	264320	其实看你吃的挺香
264320	264720	够够了
267920	269800	你是怎么做到刚才吃了一份盒饭之后
269800	270960	现在还能吃这么香
270960	273160	我那盒饭都没吃完
273160	274880	主食那块给它流出来了
274880	275480	不是
275480	276360	整个都没吃完
276360	279040	就是人在比较激动的时候
280560	281320	就是播完下去
281320	282720	半天心情还没有恢复平静
282720	283560	吃东西很噎
283560	284480	我不知道大家有没有那种感觉
284480	285080	吃不下去
285080	285840	对
285840	288440	尽管那个盒饭里边还有那个冬锅肉什么的
288440	289480	吃起晚上咽不下去
290800	292040	看你这么香
292040	293760	然后想着一会还要上播备行
293760	294440	就是各种
294440	295680	这会稍微放松了一下
296920	298080	没想到上播的时候
298080	299640	比在底下准备的时候更放松
299640	301320	对
303000	304640	可能面汤给了你一些力量
305720	306400	我也赔一个
306400	307400	你吃这么香我也赔一个
307920	308720	我也来一口行吗
308720	309000	欢迎朋友们
309000	309600	咱也不插事
310360	310720	我错了
310720	312680	我刚才应该给你来点汤
314000	314320	挺好
314320	316320	刀削面的口感比这个细面来讲的话
316320	317120	就韧性更明显
317120	318720	因为它毕竟是整个体积更大
319520	322040	这旁边过去一朋友开着船
322040	324440	然后船上讨论的是
324440	325360	这在这干啥呢
325360	326400	然后有一个说
326400	327120	他们直播呢
327120	327960	说直播咋不说话呢
327960	328880	他们说不是
328880	329960	他们那种是吃播
329960	331000	他们直接吃
333400	334120	哎呀 肚子饿了
