start	end	text
0	1280	我们的3号链接
1280	1600	是的
1600	3080	但是3号链接库存不多了
3080	4480	它只剩下4单了
4480	6880	3号链接是三宝超满足
6880	8480	12瓶多人菜
8480	10520	让三个人吃的饱饱吃的好好
10520	12200	三到四个人都可以吃的饱吃的好的
12200	13080	我们的3号链接
13080	14360	它是明天用的
14360	15200	明天用的
15200	16760	明天能够宅急送的
16760	19040	我们的3号链接只剩下4单咯
19040	19880	抓紧时间咯
19880	20280	是的
20280	21120	今天想要宅急送的
21120	21920	除了我们1号链接
21920	24280	还有我们7号 9号 10号链接
24280	26520	都可以去宅急送
26520	27080	好吗
27080	28760	包括今天如果说人比较多的话
28800	29720	有聚会的话保证
29720	31760	这一年7 9 10去团
31760	32760	去找一单去团一团
32760	33600	蜜汁拳击
33600	36280	因为它比较适合我们聚会的氛围
36280	36760	好不好
36760	38320	聚会的时候吃这个
38320	39520	那真的是奋运馆
39520	40920	奋运馆真的是满满的
40920	41240	满满的
41240	42640	你就这样一个人炫个团
42640	43960	想想多香呀
43960	44720	是的
44720	46200	所以说大家抓紧手速了
46200	46480	好不好
46480	47720	只有最后的半个小时了
47720	48360	宝贝们好吗
48360	48640	对
48640	50560	不知道怎么样是进行宅急送的宝贝
50560	51920	告诉大家一个小办法
51920	53200	把我们的关注点上
53200	55800	然后去到主页的置顶视频的第三条
55800	57000	有教大家
57000	58480	赶紧去看一看了
58480	60720	同时9号可以团吗
60720	62160	9号的话当然可以团了
62160	62760	可以团了
62760	63600	价格都开好了
63600	65000	而且现在可以吃了
65000	66640	然后我们这丰盛水起宝贝们
66640	67280	现在就想吃
67280	68560	为什么就是才能够用
68560	69360	你想想
69360	72040	因为它叫周日疯狂拼
72040	73560	如果说你现在想吃的话
73560	75120	你团到1号链接
75120	77120	6号链接到16号链接
77120	78560	都是可以今天吃的
78560	79480	宝贝们赶紧去团
79480	79800	当然了
79800	80680	如果说您真的想吃
80680	82640	我们周日疯狂拼里面的套餐内容
82640	82960	您去
82960	83920	先去等待
83920	84160	对
84160	86600	只能等待一下
86600	87560	因为它价格会更划算
87560	87880	当然了
87880	90480	如果说您一个一个点的话也可以
90480	91320	但是没有那么划算
91320	92040	没有那么划算
92040	92240	对
92240	93040	所以说有一天了
93040	93320	宝贝
93320	94160	明天就可以去吃了
94160	94680	好不好
94680	96120	哲哲宝贝问可以宅吗
96120	96920	当然没问题了
96920	98000	今天能够宅到链接
98000	99880	您如果说想今天宅的
99880	102040	1号7号9号10号链接
102040	103440	今天都可以宅
103440	104240	3号链接
104240	106000	明天可以宅的宝贝们
106000	107720	记得去团到自己喜欢链接了
107720	108920	是比抓紧时间了
108920	109920	宝贝来看一看我的福袋
109920	111680	刚才摇和了一场有几个
111680	112200	怎么回事
112200	113000	怎么还少了
113560	115240	因为大家点完之后就出去了
115240	117320	所以说那现在等一等
117320	117960	就举降掉了
117960	118600	是的
118600	120920	我们的福袋还有大概是
120920	122480	4分多就链接开了
122480	124440	现在直播间里面是800位宝贝
124440	125960	只有19位宝贝参与到
125960	128000	告诉大家我们每次福袋基本上
128000	130240	会开20到30个人的样子
130240	132600	是说大家中的几率是非常高的
132600	134120	记得去小手指往福袋上
134120	134920	轻轻的一点
134920	135320	没错
135320	136320	就参与上了
136320	137200	赶紧参与起来
137200	137520	宝贝们
137520	138880	是你来参与我们的福袋了
138880	139520	宝贝们好吗
139520	140400	1号今天可以用吗
140400	140960	宝贝1号
140960	141640	当然可以今天用
142400	143960	今天我们1号链接可以去唐市
143960	144800	也可以选择到
144800	145960	宅 集 送
145960	148600	而且今天局长很推荐我们1号链接
148600	149080	好吗
149080	151040	来给大家说说我们1号链接的一个套餐内容
151040	153000	它里面是有一个香辣鸡腿宝
153000	155640	加上我们一个藤椒风味的黄金四趴鸡排宝
155640	157320	另外我们小份的劲爆鸡米花
157320	158040	小份的薯条
158040	161640	以及普世丹那一个小杯的百式可乐两杯
161640	163360	如果大家想要去宅集送的话
163360	164160	很推荐
164160	165400	会把我们小份的薯条
165400	167960	给大家换成我们的三块热辣香菇鸡
167960	169480	包括小杯的百式可乐
169480	171320	换成两个中杯
171320	172640	如果说大家宅的话
172640	174240	我们的1号链接更又会更划算
174240	175160	更好吃了
175160	176480	所以说现在去多团
176480	177560	1号链接好吗
177560	179120	而且还是今天就可以去吃的
179120	180240	不用等好吗
180240	182360	报告我们的3号链接没有了
182360	185400	3号链接我们的三宝超满足
185400	186240	双人餐
186240	187080	三宝超满足
187080	188320	12瓶多人餐
188320	189360	已经被大家抢光了
189360	191360	来 云老师给他加库存
191360	193000	3号链接还想要的
193000	194600	明天吃我们多人餐的
194600	195360	拍3号链接
195360	196280	可以去宅集送的
196280	196520	是的
196520	197120	来喽
197120	198040	准备好没有
198080	199560	关注点上媒
199560	200680	快快检查一下
200680	203000	左上角一个小红色的加号点一下
203000	203360	是的
203360	203760	来喽
203760	204520	5秒钟
204520	206960	5 4 3 2 1
206960	208600	刷新去拍了宝贝们
208600	210000	3号链接又有了
210000	210720	时吃一桶
210720	211920	这位叫baby的宝丝
211920	212960	没有今天好吧
